Disease_Name,Crop_Host(s),Min_Optimal_Temp,Max_Optimal_Temp,Min_Optimal_Humidity,Max_Optimal_Humidity,Min_Rainfall_mm,Max_Rainfall_mm,Min_Soil_Moisture,Max_Soil_Moisture,Soil_pH_Preference,Other_Factors
Anthracnose,Acai Berry;Mango;Avocado;Papaya,24,30,85,98,20,40,50,80,5.5-7.0,"Rain splash; High humidity; Leaf wetness duration > 12 hours; Fruit maturity"
Red Ring Disease,Acai Berry;Coconut Palm;Oil Palm,25,32,70,95,15,35,40,75,5.0-7.0,"Vector presence (Palm Weevil - Rhynchophorus palmarum); Palm stress; Wounding"
Ganoderma Butt Rot,Acai Berry;Oil Palm;Coconut Palm;Other Palms,27,35,80,95,10,30,50,85,5.0-7.5,"Older palms; Tree stress (drought, lightning); Wounds near base; Poor drainage"
Phytophthora Heart Rot,Acai Berry;Coconut Palm;Pineapple,22,28,90,100,25,50,60,90,5.0-6.5,"Poor drainage; Waterlogged soil; Excessive rainfall; Wounding during harvest/maintenance"
Leaf Spot (Cercospora spp.),Acai Berry;Various Palms,20,30,80,95,15,35,40,70,5.5-7.5,"High humidity; Leaf wetness; Poor air circulation; Nutrient deficiency"
Anthracnose,Adzuki Bean;Common Bean;Soybean;Lima Bean,18,26,90,100,15,30,40,75,5.5-7.0,"Cool, wet conditions; Rain splash; Infected seed; Dense canopy; High humidity"
Powdery Mildew,Adzuki Bean;Soybean;Pea;Cucumber,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (but not free water); Poor air circulation; Shaded conditions"
Fusarium Root Rot,Adzuki Bean;Common Bean;Soybean;Pea,22,30,70,90,10,25,50,85,5.5-7.0,"Soilborne pathogen; Poor drainage or drought stress; Soil compaction; Infected crop residue"
Bean Common Mosaic Virus (BCMV),Adzuki Bean;Common Bean;Soybean,20,30,50,80,5,25,30,65,6.0-7.5,"Aphid vector presence; Infected seed; Temperature influencing aphid activity"
Bacterial Blight (Xanthomonas axonopodis pv. phaseoli),Adzuki Bean;Common Bean,25,32,85,98,20,40,40,75,6.0-7.5,"Warm, humid weather; Rain splash; Wind-driven rain; Overhead irrigation; Infected seed"
Brown Rot (Blossom Blight / Fruit Rot),Almond;Peach;Cherry;Plum;Apricot,15,25,85,100,20,40,40,70,5.5-7.0,"Cool, wet conditions during bloom (blight); Warm, humid conditions for fruit rot; Rain; High humidity; Insect wounds"
Shot Hole Disease,Almond;Peach;Apricot;Nectarine,15,24,80,95,15,35,35,65,6.0-7.5,"Cool, wet spring weather; Frequent rainfall; Overhead irrigation; Leaf wetness duration"
Almond Leaf Scorch,Almond;Grape;Oleander;Oak,25,32,60,85,10,30,30,60,5.5-8.0,"Vector presence (sharpshooter leafhoppers); Mild winters favoring vector survival; Plant water stress"
Anthracnose (Colletotrichum acutatum),Almond;Strawberry;Citrus,20,30,90,100,25,50,45,75,5.0-6.5,"Warm, wet weather; Extended periods of rain/high humidity (>12 hours); Dense canopy; Infected twigs/mummies"
Scab (Cladosporium carpophilum),Almond;Peach;Apricot,18,26,85,98,15,35,40,70,6.0-7.0,"Moderate temperatures; High humidity; Frequent rain showers in spring/early summer; Poor air circulation"
Damping-off,Amaranth;Many Vegetables;Ornamentals,18,25,85,100,10,30,60,90,5.5-7.0,"Cool, wet soil; Poor drainage; High soil moisture; Infected soil/media; Overcrowding"
Wet Rot (Choanephora cucurbitarum),Amaranth;Squash;Okra;Sweet Potato,25,32,90,100,15,35,50,80,5.5-7.0,"Warm, humid conditions; High moisture; Flowers often infected first; Insect vectors may play a role"
Leaf Spot (Cercospora/Alternaria spp.),Amaranth;Beet;Spinach,20,30,80,95,10,30,40,70,6.0-7.5,"Warm, humid weather; Leaf wetness; Rain splash; Infected debris; Poor air circulation"
White Rust (Albugo bliti),Amaranth;Spinach;Other Amaranthaceae,15,25,85,95,10,25,40,70,6.0-7.5,"Cool to moderate temperatures; High humidity; Leaf wetness; Systemic infection possible"
Powdery Mildew (Erysiphe heraclei),Anise;Carrot;Parsley;Dill;Fennel,18,28,65,90,5,20,30,60,6.0-7.5,"Moderate temperatures; Moderate to high humidity (not free water); Poor air circulation; Low light intensity"
Downy Mildew (Plasmopara spp. / Peronospora spp.),Anise;Related Apiaceae (species specific),10,20,90,100,15,30,50,80,6.0-7.0,"Cool, moist conditions; High humidity; Leaf wetness duration > 6 hours; Splashing water"
Alternaria Blight (Alternaria dauci / spp.),Anise;Carrot;Parsley;Celery,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness duration > 8 hours; Plant stress; Infected debris"
Sclerotinia Rot / White Mold,Anise;Lettuce;Bean;Carrot;Tomato (Wide Host Range),15,24,90,100,20,40,60,90,5.5-7.0,"Cool, moist conditions; High humidity near soil surface; Dense canopy; Infected soil (sclerotia); Prolonged wetness"
Cercospora Leaf Spot,Anise;Celery;Parsley,22,30,85,95,10,30,40,75,6.0-7.5,"Warm, humid conditions; Leaf wetness; Rain splash; Infected seed or crop residue; Poor air circulation"
Apple Scab (Venturia inaequalis),Apple;Crabapple,16,24,90,100,10,30,40,70,5.5-7.0,"Cool, wet spring; Leaf wetness duration (critical); Primary infection from overwintering leaves; Rain splash"
Fire Blight (Erwinia amylovora),Apple;Pear;Quince,18,29,70,90,10,30,35,65,5.5-7.5,"Warm, humid weather during bloom; Rain; Hail; Insect vectors; Splashing water; Succulent growth"
Powdery Mildew (Podosphaera leucotricha),Apple;Crabapple,19,25,70,90,5,20,30,60,6.0-7.0,"Moderate temperatures; High humidity (not free water); Active on new growth (shoots, leaves, buds, fruit)"
Cedar Apple Rust (Gymnosporangium juniperi-virginianae),Apple;Crabapple;Juniper (alternate host),18,26,85,100,10,25,40,70,5.5-7.5,"Requires Juniper host nearby; Spores released from Juniper galls during spring rains; Leaf wetness for infection"
Bitter Rot (Colletotrichum spp.),Apple;Pear,26,32,85,98,20,40,45,75,5.0-6.5,"Warm, humid weather; Rain; Fruit maturity; Overwintering mummified fruit or cankers"
Brown Rot (Monilinia fructigena/laxa),Apricot;Peach;Plum;Cherry;Almond,15,25,85,100,20,40,40,70,5.5-7.0,"Cool, wet during bloom (blossom blight); Warm, wet for fruit rot; Insect wounds; Rain; High humidity"
Shot Hole Disease (Wilsonomyces carpophilus),Apricot;Almond;Peach;Nectarine,15,24,80,95,15,35,35,65,6.0-7.5,"Cool, wet spring; Frequent rain; Overhead irrigation; Leaf wetness duration; Overwinters in buds/twigs"
Bacterial Canker/Gummosis (Pseudomonas syringae),Apricot;Cherry;Peach;Plum,10,20,80,95,15,35,40,70,6.0-7.5,"Cool, wet weather (spring/autumn); Frost damage; Wounds; Tree stress; Nematode interaction"
Powdery Mildew (Sphaerotheca pannosa/Podosphaera tridactyla),Apricot;Peach;Plum,20,28,60,90,5,20,30,60,6.0-7.0,"Moderate temperatures; High humidity (not free water); Affects leaves, shoots, fruit"
Verticillium Wilt (Verticillium dahliae),Apricot;Peach;Cherry;Tomato;Potato (Wide Host Range),21,27,70,90,10,25,40,75,6.0-7.5,"Soilborne fungus; Cool spring temperatures favor infection; Plant stress; Persists in soil for years"
Yellow Leaf Disease (Phytoplasma),Areca Nut;Coconut Palm,25,32,70,90,15,35,40,75,5.0-6.5,"Vector presence (Plant Hoppers - Proutista moesta); Warm temperatures; Plant stress"
Bud Rot/Mahali (Phytophthora arecae),Areca Nut,20,25,95,100,30,60,60,90,5.0-6.5,"High rainfall (monsoon); High humidity; Low temperature; Wind-driven rain; Poor drainage"
Ganoderma Butt Rot,Areca Nut;Oil Palm;Coconut Palm;Acai Berry,27,35,80,95,10,30,50,85,5.0-7.5,"Older palms; Tree stress; Wounds near base; Poor drainage; Soilborne"
Anthracnose (Colletotrichum gloeosporioides),Areca Nut;Mango;Avocado,24,30,85,98,20,40,50,80,5.5-7.0,"High humidity; Frequent rain; Leaf wetness; Affects leaves, nuts, inflorescence"
Leaf Spot (Pestalotiopsis spp.),Areca Nut;Coconut Palm,25,30,80,95,15,35,40,70,5.5-7.0,"Humid conditions; Rain splash; Plant stress; Wounds"
Powdery Mildew (Leveillula taurica/Erysiphe cichoracearum),Artichoke;Tomato;Pepper;Eggplant,20,30,50,80,5,20,30,60,6.0-7.5,"Warm, dry conditions (Leveillula) or high humidity (Erysiphe); Poor air circulation"
Botrytis Rot / Gray Mold (Botrytis cinerea),Artichoke;Strawberry;Grape;Lettuce (Wide Host Range),18,24,90,100,15,35,50,80,5.5-7.0,"Cool, moist conditions; High humidity; Senescing tissues (flowers); Poor air circulation; Rain"
Ramularia Leaf Spot (Ramularia cynarae),Artichoke,15,22,85,95,10,30,40,70,6.0-7.0,"Cool, wet weather; Leaf wetness; Overwinters on debris or perennial plants"
Verticillium Wilt (Verticillium dahliae),Artichoke;Tomato;Potato;Strawberry (Wide Host Range),21,27,70,90,10,25,40,75,6.0-7.5,"Soilborne fungus; Cool spring temperatures favor infection; Plant stress; Persists in soil"
Curly Dwarf Virus,Artichoke,20,30,50,80,5,25,30,65,6.0-7.5,"Aphid vector presence; Temperatures influencing aphid activity; Infected planting stock"
Downy Mildew (Hyaloperonospora parasitica/related),Arugula;Broccoli;Cabbage;Radish,10,18,90,100,10,30,50,80,6.0-7.0,"Cool, moist conditions; High humidity; Leaf wetness essential for infection; Splashing water; Wind dispersal"
White Rust (Albugo candida),Arugula;Mustard;Radish;Horseradish,12,22,85,95,10,25,40,70,6.0-7.5,"Cool, moist weather; Dew or fog; Leaf wetness; Systemic infection possible"
Alternaria Leaf Spot (Alternaria spp.),Arugula;Brassicas,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness duration > 8 hours; Plant stress; Infected debris"
Bacterial Leaf Spot (Pseudomonas syringae pv. alisalensis),Arugula;Other Brassicas,15,25,85,95,15,35,45,75,6.0-7.0,"Cool, wet conditions; Rain splash; Overhead irrigation; Infected seed or transplants"
Powdery Mildew (Golovinomyces cichoracearum/Podosphaera xanthii),Ash Gourd;Cucumber;Melon;Squash,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate to high humidity (not free water); Poor air circulation; Reduced light; Both young and old leaves susceptible"
Downy Mildew (Pseudoperonospora cubensis),Ash Gourd;Cucumber;Melon;Squash,15,23,85,100,10,30,50,80,6.0-7.0,"High humidity; Leaf wetness essential (dew, rain); Favored by cool nights, warm days; Wind dispersal"
Anthracnose (Colletotrichum lagenarium/orbiculare),Ash Gourd;Cucumber;Watermelon;Melon,22,28,90,100,15,35,50,80,5.5-6.5,"Warm, humid, rainy weather; Rain splash; Infected seed or debris; Leaf wetness duration"
Gummy Stem Blight (Didymella bryoniae),Ash Gourd;Cucumber;Melon;Squash;Watermelon,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity; Leaf wetness; Rain splash; Infected seed/debris; Wounds"
