Crop,Min_Optimal_Temp,Max_Optimal_Temp,Min_Absolute_Temp,Max_Absolute_Temp,Min_Optimal_Rainfall,Max_Optimal_Rainfall,Min_Survival_Rainfall,Min_Optimal_pH,Max_Optimal_pH,Min_Tolerated_pH,Max_Tolerated_pH,Min_Optimal_Humidity,Max_Optimal_Humidity,Drainage_Requirement,Soil_Texture_Preference,Nitrogen_Requirement,Phosphorus_Requirement,Potassium_Requirement,Min_Elevation,Max_Elevation,Min_Optimal_Moisture,Max_Optimal_Moisture,Soil_CEC_Preference,Frost_Sensitive,Salinity_Tolerance,Max_Tolerable_Wind
Acai Berry,23.5,27.5,20.5,35.5,637,931,343,5.9,6.3,5.6,6.6,48,78,Moderate,Clayey,290,240,260,0,200,296,370,High,No,Low,12.8
Adzuki Bean,18.0,22.0,15.0,30.0,559,817,301,5.9,6.3,5.6,6.6,44,74,Moderate,Loamy,255,205,225,0,800,268,335,Medium,No,Low,12.5
Almond,20.5,24.5,17.5,32.5,520,760,280,6.3,6.7,6.0,7.0,35,65,Moderate,Loamy,260,210,230,300,1200,288,360,Medium,No,Moderate,13.0
Amaranth,19.5,23.5,16.5,31.5,592,865,319,6.2,6.6,5.9,6.9,55,85,Moderate,Loamy,255,205,225,0,3000,268,335,Medium,No,Low,13.0
Anise,21.0,21.0,18.0,29.0,553,808,298,6.1,6.5,5.8,6.8,52,72,Moderate,Loamy,150,120,180,0,1500,304,380,Medium,No,Low,4.9
Apple,8.0,12.0,5.0,20.0,585,855,315,5.8,6.2,5.5,6.5,35,65,Well-drained,Loamy,230,180,200,300,2500,240,300,Medium,No,Low,14.5
Apricot,19.5,23.5,16.5,31.5,611,893,329,6.2,6.6,5.9,6.9,47,77,Moderate,Loamy,270,220,240,300,1500,280,350,Medium,No,Low,14.0
Areca Nut,25.0,24.0,22.0,32.0,1300,1900,700,5.8,6.2,5.5,6.5,65,80,Moderate,Loamy,250,200,250,0,1200,320,400,Medium,No,Low,5.0
Artichoke,19.0,19.0,16.0,27.0,390,570,210,5.8,6.2,5.5,6.5,40,60,Well-drained,Sandy,150,180,200,0,1000,240,300,Low,No,Low,4.0
Arugula,24.0,24.0,21.0,32.0,975,1425,525,6.3,6.7,6.0,7.0,60,80,Poor,Loamy,150,130,170,0,1500,352,440,Medium,No,Moderate,5.2
Ash Gourd,26.0,25.0,23.0,33.0,715,1045,385,6.0,6.4,5.7,6.7,52,72,Moderate,Loamy,110,90,140,0,500,264,330,Medium,No,Low,4.8
Asparagus,19.0,19.0,16.0,27.0,390,570,210,6.3,6.7,6.0,7.0,40,60,Well-drained,Sandy,120,150,180,0,2000,224,280,Low,No,Moderate,4.0
Avocado,18.5,22.5,15.5,30.5,585,855,315,6.0,6.4,5.7,6.7,40,70,Moderate,Loamy,280,230,250,0,2000,312,390,Medium,No,Low,12.5
Bael,29.0,28.0,26.0,36.0,390,570,210,5.9,6.3,5.6,6.6,35,55,Well-drained,Loamy,120,100,140,0,1200,224,280,Medium,No,Low,5.5
Bambara Groundnut,21.0,25.0,18.0,33.0,598,874,322,6.2,6.6,5.9,6.9,41,69,Moderate,Loamy,270,220,240,0,1500,280,350,Medium,No,Low,14.8
Bamboo,24.0,23.0,21.0,31.0,845,1235,455,6.1,6.5,5.8,6.8,52,72,Moderate,Sandy,90,70,110,0,2500,256,320,Low,No,Low,4.5
Banana,22.5,26.5,19.5,34.5,1820,2660,980,6.3,6.7,6.0,7.0,52,82,Poor,Clayey,320,280,270,0,1500,440,550,High,No,Moderate,8.5
Barley,17.0,21.0,14.0,29.0,650,950,350,6.1,6.5,5.8,6.8,38,68,Moderate,Loamy,255,195,215,0,3500,272,340,Medium,No,Low,13.2
Barnyard Millet,24.5,24.5,21.5,32.5,468,684,252,5.8,6.2,5.5,6.5,53,73,Well-drained,Sandy,85,65,105,0,1200,204,255,Low,No,Low,4.9
Basil,18.0,22.0,15.0,30.0,559,817,301,6.3,6.7,6.0,7.0,42,72,Moderate,Loamy,260,210,230,0,1000,272,340,Medium,No,Moderate,12.8
Beetroot,15.0,15.0,12.0,23.0,325,475,175,6.3,6.7,6.0,7.0,35,55,Well-drained,Sandy,100,120,150,0,2000,240,300,Low,No,Moderate,3.5
Bell Pepper,21.0,21.0,18.0,29.0,650,950,350,5.8,6.2,5.5,6.5,50,70,Moderate,Loamy,150,180,200,0,2000,256,320,Medium,No,Low,5.0
Betel Vine,25.0,24.0,22.0,32.0,1300,1900,700,6.3,6.7,6.0,7.0,65,80,Moderate,Loamy,220,170,220,0,1000,320,400,Medium,No,Moderate,5.5
Bitter Gourd,19.0,23.0,16.0,31.0,605,884,326,5.9,6.3,5.6,6.6,53,85,Moderate,Loamy,260,210,230,0,500,272,340,Medium,No,Low,12.0
